my-mission|life|my mission|2025-01-31|Notice asymmetries in the world, apply leverage where others miss it, and create value that serves people at scale.|manual
opportunity-highway|life|opportunity highway|2025-02-08|Opportunities are rarely scarce; the real scarcity is preparation, positioning, and the courage to keep showing up.|manual
borrowed-confidence|life|borrowed confidence|2025-02-15|The hidden engine of momentum is not certainty, it is borrowed confidence from people who have gone first.|generated
the-cost-of-the-road-not-taken|life|the cost of the road not taken|2025-02-22|Every purchase and every hour quietly competes with the future it might have helped you build instead.|manual
how-to-pick-your-hard|life|how to pick your hard|2025-03-01|Every path is hard eventually. The game is choosing the hard that compounds in your favor.|generated
why-children-feel-light-and-we-dont|life|why children feel light and we don't|2025-03-08|Children release the moment. Adults accumulate it, and that invisible accumulation is what makes us feel heavy.|manual
the-quiet-advantage|life|the quiet advantage|2025-03-15|You do not need to be loud to be undeniable. Quiet consistency beats noisy intensity.|generated
why-easy-lives-feel-empty|life|why easy lives feel empty|2025-03-22|Ease can feel good in the moment, but meaning usually comes from choosing the responsibilities and difficulties that stretch you.|manual
friends-who-tell-the-truth|life|friends who tell the truth|2025-04-05|The right friends do not protect your ego; they protect your future.|generated
how-to-rest-without-guilt|life|how to rest without guilt|2025-04-19|Rest is not a reward for finishing. Rest is a requirement for finishing well.|generated
slow-decisions-fast-execution|life|slow decisions, fast execution|2025-05-03|Take longer to decide what matters. Move quickly once the direction is clear.|generated
energy-is-the-real-currency|life|energy is the real currency|2025-05-17|Your calendar is not just a time budget. It is an energy portfolio.|generated
designing-an-ordinary-great-life|life|designing an ordinary great life|2025-06-07|Most of life is repeatable days. Design those and the peaks take care of themselves.|generated
distribution-before-perfection|business|distribution before perfection|2025-08-02|A good product no one sees is still invisible. Distribution is part of the product.|manual
one-metric-that-matters|data|one metric that matters|2025-08-16|Pick one metric that reflects real value and force every team decision through it.|generated
positioning-by-subtraction|business|positioning by subtraction|2025-10-04|Most positioning problems are solved by deciding what you are not.|manual
the-founder-feedback-loop|data|the founder feedback loop|2025-11-01|Founders who learn fastest are the ones who build fast feedback into every week.|generated
how-to-hire-your-second-ten|data|how to hire your second ten|2025-11-15|The second ten hires determine whether culture scales or fractures.|generated
turning-support-into-growth|data|turning support into growth|2025-12-06|Support conversations are a live map of friction, language, and demand.|generated
ai-workflows-for-lean-teams|data|AI workflows for lean teams|2025-12-20|Small teams can punch above their weight with AI if workflows are intentional.|generated
the-weekly-operating-system|data|the weekly operating system|2026-01-10|Weekly rituals make strategy executable and keep teams aligned under pressure.|generated
the-product-strategy-memo|data|the product strategy memo|2026-01-24|A sharp memo can align product, brand, and execution faster than ten meetings.|generated
the-leverage-handbook|data|the leverage handbook|2026-02-07|Leverage is not about doing less. It is about making each action travel farther.|generated
build-for-demand-not-assumptions|data|build for demand, not assumptions|2026-02-21|Serverless databases work best when they respond to actual demand instead of infrastructure assumptions made too early.|manual
why-data-teams-disagree-even-when-everyone-is-right|data|why data teams disagree even when everyone is right|2026-04-17|Strong data teams disagree because engineers, analysts, and analytics engineers optimize for different kinds of correctness.|manual
